asupra,asuprÄƒ,cu,cÄƒtre,cÄƒtrÄƒ,de,dedesubtul,despre,dimprejurul,din,dinaintea,dinapoia,dindÄƒrÄƒtul,dinspre,dintre,dintru,dupe,dupre,dupÄƒ,fÄƒr,fÄƒrÄƒ,la,lÃ¢ngÄƒ,mpotriva,mprejurul,n,naintea,nspre,pe,pentru,per,peste,pintre,prejurul,primprejurul,prin,printre,pro,pÃ¢n,pÃ¢nÄƒ,pÄƒ,pÄƒnÄƒ,spre,sub,Ã®mpotriva,Ã®mprejurul,Ã®n,Ã®naintea,Ã®napoia,Ã®nde,Ã®ndÄƒrÄƒtul,Ã®nlÄƒuntrul,Ã®nspre,Ã®ntre,Ã®ntru,Ã®nÄƒuntrul,authorCode
0.00017197,0,0.0161651,0.00017197,0,0.0412726,0,0.0027515,0,0.00739467,0,0,0,0,0,0,0,0,0.00326741,0,0.00085985,0.0130696,0.00068788,0,0,0.0022356,0,0,0.0178848,0.00120378,0,0.00137575,0,0,0,0.00257954,0,0,0,0.00395529,0,0,0.00085985,0.00068788,0,0,0.0158211,0.00085985,0,0.00017197,0,0,0,0,0,0,0
0.00061856,0,0.0123711,0,0.00020619,0.0371134,0,0.00020619,0,0.0101031,0,0,0,0,0,0,0,0,0.00412371,0,0.00082474,0.0154639,0.00041237,0,0,0.00474227,0,0,0.0226804,0.00082474,0,0.00123711,0,0,0,0.00123711,0,0,0,0.00453608,0,0,0.00061856,0.00226804,0,0,0.0146392,0,0,0,0,0,0,0,0.00020619,0,0
0,0,0.0266272,0,0.00118343,0.0431953,0,0.00059172,0,0.0112426,0,0,0,0,0.00059172,0,0,0,0.00295858,0,0.00059172,0.0189349,0.00059172,0,0,0.00295858,0,0,0.0159763,0.00118343,0,0.00177515,0,0,0,0.0035503,0,0,0,0.00236686,0,0,0.00177515,0,0,0,0.0159763,0,0,0,0,0,0.00059172,0,0,0,0
0,0,0.0185625,0,0,0.0360458,0,0,0,0.00928124,0.00021584,0,0,0,0,0,0,0,0.00215843,0,0.00280596,0.0168357,0.00172674,0,0,0.00431686,0,0,0.0153248,0.00086337,0,0.00086337,0,0,0,0.00172674,0.00021584,0,0.00021584,0.00237427,0,0,0.00107921,0.00043169,0,0,0.0155407,0.00064753,0,0,0,0,0,0.00043169,0,0,1
0,0,0.0307309,0,0,0.051495,0,0,0,0.00913621,0,0,0,0,0,0,0,0,0.00498339,0,0.00332226,0.0224253,0.00083056,0,0,0.00415282,0,0,0.0224253,0.00083056,0,0,0,0,0,0,0,0,0.00083056,0.00664452,0,0,0.00166113,0.00166113,0,0,0.0207641,0,0,0,0,0,0,0.00166113,0,0,1
0.00117786,0,0.0153121,0,0,0.0176678,0,0,0,0.00353357,0,0,0,0,0,0,0,0,0.00117786,0,0,0.0117786,0,0,0,0.00117786,0,0,0.0188457,0,0,0.00117786,0,0,0,0,0,0,0.00706714,0.00235571,0,0,0,0.00117786,0,0,0.00235571,0,0,0,0,0,0,0,0,0,2
0.00091617,0,0.0155749,0.00045809,0,0.0426019,0,0,0,0.0100779,0,0,0,0,0.00091617,0,0,0,0.00137426,0,0.0032066,0.0169491,0,0,0,0,0,0,0.0132845,0.0100779,0,0,0,0,0,0.00183234,0,0,0,0,0,0,0.00045809,0,0,0,0.0178653,0,0,0,0,0,0,0,0,0,3
0.00088002,0.00029334,0.0117336,0.00088002,0,0.0419478,0,0.00205339,0,0.00880023,0,0,0,0,0,0,0,0,0.00410678,0,0.00176005,0.00938692,0,0,0,0.00029334,0,0,0.00821355,0.00586682,0,0.00058668,0,0,0,0.00557348,0,0,0,0,0,0,0.00088002,0.00058668,0,0,0.0231739,0.00029334,0,0,0,0,0,0.00117336,0,0,3
0,0,0.0337838,0.003003,0,0.0510511,0,0.0015015,0,0.00900901,0,0,0,0,0,0,0,0,0.0045045,0,0.00075075,0.018018,0.00075075,0,0,0,0,0,0.0112613,0.0015015,0,0.00225225,0,0,0,0.00375375,0,0,0,0.00375375,0,0,0,0,0,0,0.0315315,0.00075075,0,0,0,0,0,0,0.00075075,0,3
0,0,0.0132979,0,0,0.0492021,0,0,0,0.0106383,0,0,0,0,0,0,0,0,0.00265957,0,0.00132979,0.00797872,0,0,0,0.00265957,0,0,0.0106383,0,0,0,0,0,0,0.00132979,0,0,0,0.00664894,0,0,0,0.00265957,0,0,0.0212766,0,0,0,0,0,0,0.00265957,0,0,4
