asupra,asupră,cu,către,cătră,de,dedesubtul,despre,dimprejurul,din,dinaintea,dinapoia,dindărătul,dinspre,dintre,dintru,dupe,dupre,după,făr,fără,la,lângă,mpotriva,mprejurul,n,naintea,nspre,pe,pentru,per,peste,pintre,prejurul,primprejurul,prin,printre,pro,pân,până,pă,pănă,spre,sub,împotriva,împrejurul,în,înaintea,înapoia,înde,îndărătul,înlăuntrul,înspre,între,întru,înăuntrul,authorCode
0.00037161,0.000000,0.0159792,0.000000,0.00037161,0.0349312,0.000000,0.000000,0.000000,0.00334448,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00445931,0.000000,0.00111483,0.00854701,0.000000,0.000000,0.000000,0.00631735,0.000000,0.000000,0.0182088,0.00185805,0.000000,0.00222965,0.000000,0.000000,0.000000,0.00297287,0.000000,0.000000,0.00074322,0.00185805,0.000000,0.000000,0.000000,0.00074322,0.000000,0.000000,0.0141211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
0.0001234,0.000000,0.019003,0.000000,0.000000,0.042078,0.000000,0.00061698,0.000000,0.00987167,0.00061698,0.000000,0.000000,0.000000,0.00024679,0.000000,0.000000,0.000000,0.00481244,0.000000,0.00086377,0.0213475,0.00061698,0.000000,0.000000,0.00394867,0.000000,0.000000,0.0169052,0.00197433,0.000000,0.00061698,0.000000,0.000000,0.000000,0.0028381,0.00061698,0.000000,0.000000,0.00333169,0.000000,0.000000,0.00049358,0.00049358,0.000000,0.00024679,0.0197433,0.0001234,0.000000,0.000000,0.000000,0.000000,0.000000,0.00037019,0.000000,0.000000,0
0.00014616,0.000000,0.0200234,0.00029231,0.000000,0.0431161,0.000000,0.00058462,0.000000,0.0096463,0.00014616,0.000000,0.000000,0.000000,0.00058462,0.000000,0.000000,0.000000,0.00394621,0.000000,0.0013154,0.0236773,0.00102309,0.000000,0.000000,0.00482315,0.000000,0.000000,0.0192926,0.00380006,0.000000,0.00190003,0.000000,0.000000,0.00014616,0.00175387,0.00029231,0.000000,0.00014616,0.00423853,0.000000,0.000000,0.00146156,0.00058462,0.000000,0.00029231,0.0188541,0.00014616,0.000000,0.000000,0.000000,0.000000,0.000000,0.00073078,0.00014616,0.000000,0
0.000000,0.000000,0.0176678,0.00070671,0.000000,0.0466431,0.000000,0.000000,0.000000,0.00706714,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004947,0.000000,0.00141343,0.0183746,0.00212014,0.000000,0.000000,0.00212014,0.000000,0.000000,0.0162544,0.000000,0.000000,0.00070671,0.000000,0.000000,0.000000,0.00070671,0.000000,0.000000,0.000000,0.00212014,0.000000,0.00070671,0.00070671,0.000000,0.000000,0.000000,0.0190813,0.00070671,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
0.000000,0.000000,0.0153242,0.000000,0.000000,0.0447937,0.000000,0.000000,0.000000,0.0043222,0.000000,0.000000,0.000000,0.000000,0.00039293,0.000000,0.000000,0.000000,0.00196464,0.000000,0.00117878,0.0196464,0.000000,0.000000,0.000000,0.00628684,0.000000,0.000000,0.0133595,0.00157171,0.000000,0.00078585,0.000000,0.000000,0.000000,0.00157171,0.000000,0.000000,0.00039293,0.00235756,0.000000,0.000000,0.00039293,0.000000,0.000000,0.000000,0.0129666,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
0.000000,0.000000,0.0113544,0.000000,0.000000,0.026764,0.000000,0.00162206,0.000000,0.00729927,0.000000,0.000000,0.000000,0.000000,0.00162206,0.000000,0.000000,0.000000,0.00081103,0.000000,0.00081103,0.0251419,0.00162206,0.000000,0.000000,0.00729927,0.000000,0.000000,0.0121654,0.00405515,0.000000,0.00081103,0.000000,0.000000,0.000000,0.00162206,0.000000,0.000000,0.000000,0.00324412,0.000000,0.000000,0.00162206,0.000000,0.000000,0.000000,0.0113544,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00162206,0.000000,0.000000,0
0.000000,0.000000,0.0169984,0.000000,0.000000,0.0362335,0.000000,0.00044733,0.000000,0.00872288,0.00044733,0.00022366,0.000000,0.00022366,0.00067099,0.00044733,0.000000,0.000000,0.00268396,0.000000,0.00067099,0.0140908,0.00111832,0.000000,0.000000,0.00313129,0.000000,0.000000,0.0154328,0.00111832,0.000000,0.00111832,0.000000,0.000000,0.000000,0.00089465,0.000000,0.000000,0.00022366,0.00089465,0.000000,0.000000,0.00201297,0.00022366,0.00022366,0.00022366,0.0140908,0.00022366,0.000000,0.000000,0.000000,0.000000,0.000000,0.00044733,0.000000,0.000000,0
0.000000,0.000000,0.0190974,0.00020103,0.000000,0.0404061,0.00010051,0.00030154,0.000000,0.00643281,0.000000,0.000000,0.000000,0.000000,0.00010051,0.000000,0.000000,0.000000,0.0016082,0.000000,0.00291487,0.0127651,0.000000,0.000000,0.000000,0.00221128,0.000000,0.000000,0.0115589,0.00653332,0.000000,0.00070359,0.000000,0.000000,0.000000,0.00170871,0.00030154,0.000000,0.000000,0.000000,0.000000,0.000000,0.00090461,0.0016082,0.000000,0.00010051,0.020203,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00040205,0.000000,0.000000,1
0.00034602,0.000000,0.0190311,0.00034602,0.000000,0.0408305,0.000000,0.000000,0.000000,0.0103806,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00276817,0.00069204,0.00207612,0.0083045,0.00103806,0.000000,0.000000,0.00311419,0.000000,0.000000,0.016609,0.000000,0.000000,0.00034602,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00138408,0.000000,0.000000,0.000000,0.00069204,0.000000,0.000000,0.0280277,0.00034602,0.000000,0.000000,0.000000,0.000000,0.000000,0.00034602,0.000000,0.000000,1
0.00033529,0.000000,0.0204526,0.000000,0.000000,0.0343671,0.000000,0.000000,0.000000,0.010394,0.000000,0.000000,0.000000,0.00016764,0.00033529,0.000000,0.0015088,0.000000,0.00134116,0.000000,0.00318525,0.0160939,0.00050293,0.000000,0.000000,0.00419111,0.000000,0.000000,0.0139145,0.00167645,0.000000,0.00067058,0.000000,0.000000,0.000000,0.00167645,0.00050293,0.000000,0.00033529,0.00100587,0.000000,0.000000,0.00067058,0.00083822,0.000000,0.00016764,0.0256496,0.00033529,0.000000,0.000000,0.000000,0.000000,0.000000,0.00050293,0.000000,0.000000,1
0.000000,0.000000,0.0283784,0.00067568,0.000000,0.0337838,0.000000,0.00067568,0.000000,0.00608108,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00405405,0.000000,0.00405405,0.00675676,0.000000,0.000000,0.000000,0.00202703,0.000000,0.000000,0.0175676,0.00202703,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00135135,0.000000,0.000000,0.00135135,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025,0.00135135,0.000000,0.000000,0.000000,0.000000,0.000000,0.00405405,0.000000,0.000000,1
0.00015129,0.000000,0.0196672,0.00015129,0.000000,0.0310136,0.000000,0.000000,0.000000,0.00468986,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00045386,0.000000,0.00242057,0.00030257,0.00075643,0.0172466,0.000000,0.000000,0.000000,0.00423601,0.000000,0.000000,0.0184569,0.00045386,0.000000,0.00060514,0.000000,0.000000,0.000000,0.00030257,0.00015129,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030257,0.000000,0.00015129,0.000000,0.0177004,0.00015129,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030257,0.000000,0.000000,1
0.000000,0.000000,0.0185625,0.000000,0.000000,0.0360458,0.000000,0.000000,0.000000,0.00928124,0.00021584,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00215843,0.000000,0.00280596,0.0168357,0.00172674,0.000000,0.000000,0.00431686,0.000000,0.000000,0.0153248,0.00086337,0.000000,0.00086337,0.000000,0.000000,0.000000,0.00172674,0.00021584,0.000000,0.00021584,0.00237427,0.000000,0.000000,0.00107921,0.00043169,0.000000,0.000000,0.0155407,0.00064753,0.000000,0.000000,0.000000,0.000000,0.000000,0.00043169,0.000000,0.000000,1
0.000000,0.000000,0.00546448,0.000000,0.000000,0.0163934,0.000000,0.000000,0.000000,0.010929,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00136612,0.000000,0.000000,0.00819672,0.000000,0.000000,0.000000,0.00409836,0.000000,0.000000,0.0259563,0.00273224,0.000000,0.00136612,0.000000,0.000000,0.000000,0.00136612,0.000000,0.000000,0.000000,0.00136612,0.000000,0.000000,0.000000,0.00136612,0.000000,0.000000,0.0204918,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
